Fold,Model,Train Accuracy,Train Precision,Train Precision-Graduate,Train Precision-Dropout,Train Precision-Enrolled,Train Recall,Train Recall-Graduate,Train Recall-Dropout,Train Recall-Enrolled,Train F1 Score,Train F1 Score-Graduate,Train F1 Score-Dropout,Train F1 Score-Enrolled,Train ROC AUC,Train ROC AUC-Graduate,Train ROC AUC-Dropout,Train ROC AUC-Enrolled,Train Avg Precision,Train Avg Precision-Graduate,Train Avg Precision-Dropout,Train Avg Precision-Enrolled,Valid Accuracy,Valid Precision,Valid Precision-Graduate,Valid Precision-Dropout,Valid Precision-Enrolled,Valid Recall,Valid Recall-Graduate,Valid Recall-Dropout,Valid Recall-Enrolled,Valid F1 Score,Valid F1 Score-Graduate,Valid F1 Score-Dropout,Valid F1 Score-Enrolled,Valid ROC AUC,Valid ROC AUC-Graduate,Valid ROC AUC-Dropout,Valid ROC AUC-Enrolled,Valid Avg Precision,Valid Avg Precision-Graduate,Valid Avg Precision-Dropout,Valid Avg Precision-Enrolled,Training Runtime,Prediction Runtime
2,Bernoulli Bayes,0.7866501127193126,0.7518434625566188,0.8781628627782474,0.550998602778006,0.8263689221136029,0.7407133672829441,0.7700632536074323,0.5609103078982597,0.8911665403431406,0.744674625136562,0.8205681788262552,0.5559102782039056,0.8575454183795252,0.8968562409668861,0.9324839622938853,0.8347411534204701,0.9233436071863032,0.7807076448553562,0.898328184589312,0.5452420225048797,0.8985527274718765,0.7875065342394145,0.7529954639159347,0.8833483754512635,0.5532128514056225,0.8224251648909183,0.7401778528657936,0.7737154150197628,0.5532128514056225,0.8936052921719956,0.7448856681115981,0.8249051833122629,0.5532128514056225,0.8565389696169089,0.8941809671748896,0.931616752812405,0.8307037965654978,0.9202223521467665,0.7769573252216911,0.8969991625178769,0.5392956328188685,0.8945771803283279,0.04,0.12
2,Gaussian Bayes,0.7663279641911981,0.7241462935270718,0.8428255605853248,0.5449166218396988,0.7846966981561921,0.7016789064444438,0.7912630954734137,0.4237784471218206,0.8899951767380969,0.7090131860773076,0.8162308202069634,0.47677319150938957,0.8340355465155698,0.8803550745854632,0.9241943667630833,0.811512022200015,0.9053588347932916,0.7297074071511519,0.8606224819851316,0.4634461933474844,0.8650535461208397,0.7620883429168844,0.7182639979190757,0.8442760942760943,0.5299657534246576,0.7805501460564752,0.6970098748900404,0.7928853754940711,0.4143239625167336,0.8838202866593164,0.7039398005280533,0.817774154097024,0.4650638617580766,0.828981385729059,0.8772898541316257,0.9233776100306667,0.8051027592017959,0.9033891931624147,0.7228363513420186,0.8519752049041398,0.4471031329583772,0.8694307161635386,0.05,0.18000000000000002
3,Logistic Regression,0.8150616678918565,0.7834789588458625,0.896,0.6221319988669625,0.8323048776706254,0.7631901572523107,0.8135593220338984,0.5512884872824632,0.9247226624405706,0.7711489389701223,0.8527918781725888,0.5845717074036286,0.8760832313341493,0.9199657856290114,0.9505475464228563,0.8637821072637448,0.9455677032004333,0.8099895319584998,0.928120145425926,0.5795587268734848,0.9222897235760886,0.8121936875122525,0.7773103653282565,0.8875777730100837,0.6125244618395304,0.8318288611351552,0.7562023583960088,0.8177505435856889,0.5237617135207496,0.9270948180815877,0.7642642339194987,0.8512345679012345,0.5646761681399964,0.8768819657172652,0.9202182556758213,0.9519045914206121,0.8605858268640947,0.9481643487427571,0.8097001532246807,0.9273637392417411,0.5736574198028789,0.9280793006294219,0.51,0.04
3,Linear Discriminant Analysis,0.8029404557706444,0.7769282162963836,0.9268836648583484,0.5854671867051043,0.8184337973256983,0.7544317235390438,0.759845826950635,0.5777275769745649,0.9257217666919314,0.7618144793644986,0.8350938170364135,0.5815716331171565,0.868777987939926,0.9120992395246114,0.9485088866872411,0.8510295512548404,0.936759280631753,0.7998525211447621,0.9246366613081204,0.5655785820525452,0.9093423200736209,0.8018035679278572,0.7741186667142496,0.9230953521801629,0.5802257954156689,0.8190348525469169,0.7518282105078135,0.7616129669895236,0.5676037483266398,0.9262679162072768,0.7592724915668726,0.8346149680493881,0.5738453730333277,0.8693571336179019,0.9117321071235981,0.950016002116069,0.8470589354304483,0.938121383824277,0.7989468590105275,0.9247300387322486,0.5589615751298421,0.913148963169492,0.2,0.05
3,Bernoulli Bayes,0.7876500857632933,0.7530966384005575,0.8799098337559876,0.554228855721393,0.8251512257242917,0.7412391941705266,0.771557048969709,0.5592369477911646,0.8929235857507063,0.7455337580758915,0.8221789268600916,0.5567216391804098,0.8577007081871733,0.8965014676356491,0.9321027678132053,0.8349940106799391,0.9224076244138031,0.7806646754256213,0.8986341492230443,0.5463987457350277,0.8969611313187917,0.7857936352349213,0.7500223889282046,0.8764070238631247,0.5491967871485943,0.8244633557728948,0.7377621553641712,0.769519667918561,0.5491967871485943,0.8945700110253583,0.742258863195221,0.8194926849805284,0.5491967871485943,0.8580871174565404,0.896099806220147,0.932966628303782,0.8309681682474926,0.924364622109166,0.7778109447005886,0.895706059168433,0.5359574736465434,0.9017693012867894,0.04,0.11
3,Gaussian Bayes,0.7704974271012007,0.7300642333000603,0.841184176054493,0.558434690639873,0.7905738332058149,0.7083423984085807,0.7932994020852894,0.44176706827309237,0.8899607248673603,0.715721783554128,0.8165403590865165,0.49329658522913067,0.8373284063467367,0.8796779327145948,0.9237441710093344,0.8101977099949915,0.9050919171394587,0.7299965986170099,0.8586675098256631,0.46832163090252127,0.8630006551228454,0.7697183558779325,0.7271263845983905,0.8411469233989117,0.5514673674989049,0.788764862897355,0.703908677209146,0.7944257758450287,0.4213520749665328,0.8959481808158766,0.7112580720053403,0.8171190403578327,0.4777082147600076,0.8389469608981804,0.8783030453750541,0.923280022404892,0.8056047168780684,0.9060243968422015,0.7252374141089876,0.8556203575220976,0.4610627583916477,0.8590291264132175,0.04,0.18000000000000002
4,Logistic Regression,0.8144572408723352,0.7818401951777078,0.8939739413680782,0.6180529300567108,0.8334937141083346,0.7619599445044191,0.8137075653505954,0.5471050870147256,0.9250671811479363,0.7697565081987628,0.8519543679023204,0.5804189597017575,0.8768961969922111,0.9201098609766728,0.9508982836659537,0.8629977216242379,0.9464335776398268,0.809439119698372,0.9277523754251156,0.5765505379005263,0.9240144457694743,0.8151996340586813,0.7852689501723429,0.9024983418085342,0.623736428304006,0.8295720804044888,0.7638457451913067,0.8068788298082625,0.5575635876840697,0.9270948180815877,0.7721457413812275,0.8520141932790649,0.5887966071744124,0.875626423690205,0.9196240577323668,0.9504794228571424,0.8635929290310517,0.9447998213089062,0.8098249264661334,0.9291962892006764,0.5799738785721454,0.9203046116255781,0.52,0.04
4,Linear Discriminant Analysis,0.8022053418279833,0.7756617577993214,0.9257452574525745,0.5828450106157113,0.8183950053296787,0.7532009819797366,0.7595987547561397,0.5742135207496654,0.9257906704334046,0.7605886426606198,0.8344823842353836,0.5784970708475576,0.8687864728989185,0.9118954012522303,0.9487215401296675,0.8496731701450736,0.9372914934819498,0.7989229023961757,0.9242607656985625,0.5622273286052091,0.9102806128847555,0.8027837678886492,0.7780304806770172,0.9321620302586627,0.5846205507051713,0.8173088610672177,0.754811765052665,0.7550899387230678,0.5826639892904953,0.9266813671444322,0.7621801809024685,0.8343343889920279,0.5836406302380154,0.8685655234773623,0.9116078880262762,0.949027635556042,0.8501269117612689,0.9356691167615179,0.7990514567060593,0.9263997873175951,0.5623224849652511,0.9084320978353319,0.25,0.05
4,Bernoulli Bayes,0.7871763456669117,0.7520760630371804,0.8790763165305547,0.5515438247011952,0.8256080478797911,0.740236424533712,0.7712605623363147,0.5559738955823293,0.8934748156824915,0.7445328186762777,0.8216466624552538,0.55375,0.8582017935735795,0.895749139145981,0.9319612303800241,0.8324672583179955,0.9228189287399235,0.7784687365262704,0.8975534295907532,0.5408389740788342,0.8970138059092239,0.7878847284846109,0.7537833817943134,0.8790760869565217,0.5557382439986847,0.8265358144277338,0.7422280501707497,0.7673453251630757,0.5655957161981259,0.8937431091510474,0.7462899409634575,0.819419525065963,0.5606236523469895,0.8588266454774202,0.8989863370243226,0.9328255268040171,0.8398364604717422,0.924297023797209,0.7858308093313345,0.8985731041699203,0.5560013613805712,0.902917962443512,0.04,0.11
4,Gaussian Bayes,0.7667075063301478,0.7243145294163694,0.8395590617000157,0.5518143555909453,0.7815701709581468,0.6987200135180863,0.794090033107674,0.4058734939759036,0.8961965134706814,0.7062944982910703,0.8161917822134187,0.4677240514872487,0.8349676611725433,0.8800957778131963,0.9240432376171543,0.8100497942755195,0.9061943015469145,0.7304234813427967,0.860044776882366,0.4659680774778239,0.8652575896681999,0.7745540090178397,0.7377803061274993,0.8476694915254237,0.58,0.7856714268570743,0.7099675034103431,0.7908677604269618,0.4367469879518072,0.9022877618522602,0.7188390375809403,0.8182840781265978,0.49828178694158076,0.8399512476746424,0.8827249868097486,0.9242479931652265,0.8168314617245543,0.907095505539465,0.7339657125200603,0.8617400712183582,0.47659337645376265,0.8635636898880602,0.05,0.19
