Fold,Model,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train ROC AUC,Train Avg Precision,Valid Accuracy,Valid Precision,Valid Recall,Valid F1 Score,Valid ROC AUC,Valid Avg Precision,Training Runtime,Prediction Runtime
2,Extra Trees,0.855635604058317,0.495693248124479,0.8011976047904191,0.6124620930365623,0.8933574005433809,0.6614408545530908,0.8562537300707648,0.49698568198944987,0.7898203592814371,0.6100832562442183,0.891272272038089,0.672882193384138,1.34,0.6
2,Random Forest,0.9053414613351521,0.6378524812215245,0.7754491017964071,0.6999527058982501,0.9205419313475643,0.7923240968587258,0.9051922585045613,0.641051567239636,0.7592814371257485,0.6951754385964912,0.9144028971582632,0.78763193134141,1.9,0.5700000000000001
2,AdaBoost,0.925483843464916,0.809727626459144,0.6230538922155688,0.7042301184433164,0.9246573751542546,0.7709446534072909,0.9224145280927615,0.8044871794871795,0.6011976047904192,0.6881425633995888,0.918592936405745,0.7616314157006373,1.85,0.9400000000000001
2,Gradient Boosting,0.956496717537727,0.9415572054064344,0.7404191616766467,0.8289617028408615,0.9640050758905689,0.8987320864687516,0.9502088839628272,0.9268867924528302,0.7059880239520958,0.8014955812372536,0.948020719670114,0.8559027114187708,11.82,0.35000000000000003
3,Decision Tree,0.8844317503623498,0.5663082437275986,0.8041916167664671,0.6646047259680812,0.9100965400692799,0.7586779883800475,0.8882257651973741,0.5758985200845665,0.8155688622754491,0.675092936802974,0.915204723270429,0.7723808684899451,0.19,0.03
3,Extra Trees,0.8611561087901782,0.5079853761785645,0.7904191616766467,0.6184842450509547,0.8912499542370672,0.6561533285557359,0.8607724443686589,0.5069837674594186,0.8041916167664671,0.6219032183375781,0.896567675862114,0.668633368065182,1.53,0.52
3,Random Forest,0.9055759229260807,0.6403443113772455,0.7684131736526946,0.6985574305933587,0.9193537042378113,0.7907521790177184,0.9078352800750277,0.6468827930174563,0.7766467065868263,0.7058503401360544,0.9222027760762399,0.7979601339417286,1.8,0.55
3,AdaBoost,0.9253985847045784,0.8147268408551069,0.6161676646706586,0.7016706443914081,0.9224254704131849,0.7648239348060478,0.926165913547617,0.8210862619808307,0.615568862275449,0.70362765229295,0.9270069464411469,0.777947067336617,1.86,1.01
3,Gradient Boosting,0.9552817802029159,0.9385528330781011,0.7339820359281437,0.8237567204301075,0.9649536968413308,0.8987531534038362,0.9535339756159945,0.9277566539923955,0.7305389221556886,0.8174204355108877,0.9550635680622054,0.8721628938559404,10.6,0.31
4,Decision Tree,0.9175334640634325,0.6892929292929293,0.7661676646706587,0.7257001063452676,0.9103958240691299,0.759468883382808,0.9131213232159604,0.6696195935383012,0.7694610778443114,0.7160769016439119,0.9113155436815007,0.7530245337519749,0.13,0.03
4,Extra Trees,0.8656108790178191,0.5184166584814851,0.7901197604790419,0.6260601387818041,0.8950217463224461,0.6757042463994488,0.8635859834598005,0.5135764158262219,0.792814371257485,0.623352165725047,0.8968578798263895,0.6613800708072162,1.33,0.56
4,Random Forest,0.9064498252195413,0.6433846538991113,0.7694610778443114,0.7007976003817574,0.9201889112469961,0.8059527959576125,0.9039986358598346,0.6330724070450098,0.7748502994011977,0.6968228325255789,0.9235877782163082,0.80288146374209,1.77,0.52
4,AdaBoost,0.9262938016881235,0.8162544169611308,0.6224550898203592,0.7063020214030915,0.9228805065086052,0.7714564288998239,0.9228408218944496,0.789553368660106,0.6245508982035928,0.6974256101638248,0.9262715547134184,0.7561669357566926,1.77,0.91
4,Gradient Boosting,0.9560704237360389,0.9418404438492443,0.7369760479041916,0.8269085411942555,0.9637279831925769,0.897614844003367,0.952510870491943,0.92,0.729940119760479,0.8140233722871453,0.9549845730549041,0.8691691249468249,9.99,0.3
